Code1|Code2|Code3|County Name/State Abbreviation|Year|Labor Force|Employed|Unemployed|Unemployment (%)
CN3716900000000|37|169|Stokes County, NC|2012|22,391     |20,309     |2,082     |9.3     
CN3717100000000|37|171|Surry County, NC|2012|33,651     |30,410     |3,241     |9.6     
CN3717300000000|37|173|Swain County, NC|2012|6,522     |5,562     |960     |14.7     
CN3717500000000|37|175|Transylvania County, NC|2012|13,456     |12,286     |1,170     |8.7     
CN3717700000000|37|177|Tyrrell County, NC|2012|1,583     |1,367     |216     |13.6     
CN3717900000000|37|179|Union County, NC|2012|104,230     |96,045     |8,185     |7.9     
CN3718100000000|37|181|Vance County, NC|2012|18,486     |15,985     |2,501     |13.5     
CN3718300000000|37|183|Wake County, NC|2012|502,454     |466,623     |35,831     |7.1     
CN3718500000000|37|185|Warren County, NC|2012|7,578     |6,635     |943     |12.4     
CN3718700000000|37|187|Washington County, NC|2012|4,871     |4,124     |747     |15.3     
CN3718900000000|37|189|Watauga County, NC|2012|27,059     |25,062     |1,997     |7.4     
CN3719100000000|37|191|Wayne County, NC|2012|55,377     |50,689     |4,688     |8.5     
CN3719300000000|37|193|Wilkes County, NC|2012|30,585     |27,411     |3,174     |10.4     
CN3719500000000|37|195|Wilson County, NC|2012|38,327     |33,345     |4,982     |13.0     
CN3719700000000|37|197|Yadkin County, NC|2012|17,964     |16,315     |1,649     |9.2     
CN3719900000000|37|199|Yancey County, NC|2012|7,975     |7,123     |852     |10.7     
CN3800100000000|38|001|Adams County, ND|2012|1,112     |1,080     |32     |2.9     
CN3800300000000|38|003|Barnes County, ND|2012|5,754     |5,557     |197     |3.4     
CN3800500000000|38|005|Benson County, ND|2012|2,776     |2,582     |194     |7.0     
CN3800700000000|38|007|Billings County, ND|2012|474     |458     |16     |3.4     
CN3800900000000|38|009|Bottineau County, ND|2012|3,410     |3,294     |116     |3.4     
CN3801100000000|38|011|Bowman County, ND|2012|1,918     |1,883     |35     |1.8     
CN3801300000000|38|013|Burke County, ND|2012|1,376     |1,349     |27     |2.0     
CN3801500000000|38|015|Burleigh County, ND|2012|46,612     |45,297     |1,315     |2.8     
CN3801700000000|38|017|Cass County, ND|2012|89,587     |86,957     |2,630     |2.9     
CN3801900000000|38|019|Cavalier County, ND|2012|2,148     |2,080     |68     |3.2     
CN3802100000000|38|021|Dickey County, ND|2012|2,709     |2,635     |74     |2.7     
CN3802300000000|38|023|Divide County, ND|2012|1,787     |1,760     |27     |1.5     
CN3802500000000|38|025|Dunn County, ND|2012|3,680     |3,622     |58     |1.6     
CN3802700000000|38|027|Eddy County, ND|2012|1,250     |1,186     |64     |5.1     
CN3802900000000|38|029|Emmons County, ND|2012|1,648     |1,559     |89     |5.4     
CN3803100000000|38|031|Foster County, ND|2012|1,684     |1,631     |53     |3.1     
CN3803300000000|38|033|Golden Valley County, ND|2012|982     |958     |24     |2.4     
CN3803500000000|38|035|Grand Forks County, ND|2012|37,309     |36,046     |1,263     |3.4     
CN3803700000000|38|037|Grant County, ND|2012|1,301     |1,260     |41     |3.2     
CN3803900000000|38|039|Griggs County, ND|2012|1,225     |1,192     |33     |2.7     
CN3804100000000|38|041|Hettinger County, ND|2012|1,455     |1,416     |39     |2.7     
CN3804300000000|38|043|Kidder County, ND|2012|1,264     |1,199     |65     |5.1     
CN3804500000000|38|045|LaMoure County, ND|2012|2,277     |2,220     |57     |2.5     
CN3804700000000|38|047|Logan County, ND|2012|908     |880     |28     |3.1     
CN3804900000000|38|049|McHenry County, ND|2012|3,284     |3,143     |141     |4.3     
CN3805100000000|38|051|McIntosh County, ND|2012|1,248     |1,208     |40     |3.2     
CN3805300000000|38|053|McKenzie County, ND|2012|6,098     |6,005     |93     |1.5     
CN3805500000000|38|055|McLean County, ND|2012|4,755     |4,546     |209     |4.4     
CN3805700000000|38|057|Mercer County, ND|2012|4,037     |3,822     |215     |5.3     
CN3805900000000|38|059|Morton County, ND|2012|15,506     |14,951     |555     |3.6     
CN3806100000000|38|061|Mountrail County, ND|2012|7,413     |7,292     |121     |1.6     
CN3806300000000|38|063|Nelson County, ND|2012|1,547     |1,483     |64     |4.1     
CN3806500000000|38|065|Oliver County, ND|2012|891     |831     |60     |6.7     
CN3806700000000|38|067|Pembina County, ND|2012|3,709     |3,471     |238     |6.4     
CN3806900000000|38|069|Pierce County, ND|2012|1,875     |1,794     |81     |4.3     
CN3807100000000|38|071|Ramsey County, ND|2012|5,828     |5,587     |241     |4.1     
CN3807300000000|38|073|Ransom County, ND|2012|2,799     |2,715     |84     |3.0     
CN3807500000000|38|075|Renville County, ND|2012|1,445     |1,412     |33     |2.3     
CN3807700000000|38|077|Richland County, ND|2012|8,565     |8,253     |312     |3.6     
CN3807900000000|38|079|Rolette County, ND|2012|5,022     |4,493     |529     |10.5     
CN3808100000000|38|081|Sargent County, ND|2012|2,148     |2,091     |57     |2.7     
CN3808300000000|38|083|Sheridan County, ND|2012|737     |710     |27     |3.7     
CN3808500000000|38|085|Sioux County, ND|2012|1,308     |1,240     |68     |5.2     
CN3808700000000|38|087|Slope County, ND|2012|529     |518     |11     |2.1     
CN3808900000000|38|089|Stark County, ND|2012|18,264     |17,931     |333     |1.8     
CN3809100000000|38|091|Steele County, ND|2012|1,049     |1,021     |28     |2.7     
CN3809300000000|38|093|Stutsman County, ND|2012|10,426     |10,068     |358     |3.4     
CN3809500000000|38|095|Towner County, ND|2012|1,260     |1,218     |42     |3.3     
CN3809700000000|38|097|Traill County, ND|2012|4,532     |4,389     |143     |3.2     
CN3809900000000|38|099|Walsh County, ND|2012|5,667     |5,390     |277     |4.9     
CN3810100000000|38|101|Ward County, ND|2012|33,958     |33,058     |900     |2.7     
CN3810300000000|38|103|Wells County, ND|2012|2,228     |2,139     |89     |4.0     
CN3810500000000|38|105|Williams County, ND|2012|27,100     |26,797     |303     |1.1     
CN3900100000000|39|001|Adams County, OH|2012|10,770     |9,416     |1,354     |12.6     
CN3900300000000|39|003|Allen County, OH|2012|49,937     |46,089     |3,848     |7.7     
CN3900500000000|39|005|Ashland County, OH|2012|25,820     |23,745     |2,075     |8.0     
CN3900700000000|39|007|Ashtabula County, OH|2012|46,433     |42,062     |4,371     |9.4     
CN3900900000000|39|009|Athens County, OH|2012|27,585     |25,235     |2,350     |8.5     
CN3901100000000|39|011|Auglaize County, OH|2012|23,945     |22,465     |1,480     |6.2     
CN3901300000000|39|013|Belmont County, OH|2012|31,728     |29,111     |2,617     |8.2     
CN3901500000000|39|015|Brown County, OH|2012|20,144     |18,130     |2,014     |10.0     
CN3901700000000|39|017|Butler County, OH|2012|186,468     |172,183     |14,285     |7.7     
CN3901900000000|39|019|Carroll County, OH|2012|13,791     |12,696     |1,095     |7.9     
